#Time(s),T_Probe(K),T_VTI(K),B(T),Rxx_B_R,Rxx_B_I,Rxx_B_phase,Rxy_B_R,Rxy_B_I,Rxy_B_phase,Rxx_A_R,Rxx_A_I,Rxx_A_phase,Rxy_A_R,Rxy_A_I,Rxy_A_phase,Stabilized
#Date : 3/2/2026 1:16:37 PM,#Sample : Cu,#Comment : ,,,,,,,,,,,,,,
6.500000000E+1,2.433670000E+2,6.032570000E+1,-0.000000000E+0,8.709330291E-4,1.087223889E-2,2.374692094E-1,1.016046221E-4,1.087223889E-2,1.778187304E+2,2.634646555E-3,1.137462819E-2,5.407570730E-2,2.938490001E-5,1.137462819E-2,7.915543516E+0,0.000000000E+0
6.600000000E+1,2.428560000E+2,6.065090000E+1,-0.000000000E+0,8.707973359E-4,1.087579531E-2,2.125866548E-1,9.954661986E-5,1.087579531E-2,1.778576902E+2,2.630451508E-3,1.137822185E-2,4.491068831E-2,3.075425995E-5,1.137822185E-2,5.250555824E+0,0.000000000E+0
6.700000000E+1,2.423460000E+2,6.096660000E+1,0.000000000E+0,8.679169223E-4,1.087954077E-2,2.303190453E-1,1.000264263E-4,1.087954077E-2,1.779771119E+2,2.622893234E-3,1.138207661E-2,4.643710106E-2,3.075367477E-5,1.138207661E-2,6.998269201E+0,0.000000000E+0
6.800000000E+1,2.418350000E+2,6.126640000E+1,0.000000000E+0,8.659760704E-4,1.088372289E-2,1.116790786E-1,9.991398131E-5,1.088372289E-2,1.787005964E+2,2.616542688E-3,1.138574470E-2,5.144883049E-4,3.066159650E-5,1.138574470E-2,4.294329160E+0,0.000000000E+0
6.900000000E+1,2.413290000E+2,6.156960000E+1,-0.000000000E+0,8.652837203E-4,1.088699767E-2,1.431013390E-1,9.806201478E-5,1.088699767E-2,1.783602826E+2,2.611264211E-3,1.138929415E-2,1.726022694E-2,3.119485668E-5,1.138929415E-2,4.035656607E+0,0.000000000E+0
7.000000000E+1,2.408310000E+2,6.186840000E+1,-0.000000000E+0,8.584789918E-4,1.089015118E-2,3.027328983E-1,1.013887928E-4,1.089015118E-2,1.769726330E+2,2.600700539E-3,1.139219303E-2,8.166803325E-2,2.800646444E-5,1.139219303E-2,9.503798562E+0,0.000000000E+0
7.100000000E+1,2.403330000E+2,6.215130000E+1,-0.000000000E+0,8.583745230E-4,1.089358536E-2,3.013526719E-1,9.954607840E-5,1.089358536E-2,1.768639816E+2,2.596385940E-3,1.139565334E-2,7.907750010E-2,2.987238647E-5,1.139565334E-2,8.432546450E+0,0.000000000E+0
7.200000000E+1,2.398360000E+2,6.243830000E+1,-0.000000000E+0,8.548917311E-4,1.089744177E-2,2.809024399E-1,9.995577906E-5,1.089744177E-2,1.777074763E+2,2.589554848E-3,1.139920898E-2,6.001917743E-2,2.834136002E-5,1.139920898E-2,8.170274699E+0,0.000000000E+0
7.300000000E+1,2.393390000E+2,6.272830000E+1,0.000000000E+0,8.529651460E-4,1.090077736E-2,2.989760852E-1,1.002693760E-4,1.090077736E-2,1.773429265E+2,2.582879598E-3,1.140250294E-2,6.938359784E-2,2.890506643E-5,1.140250294E-2,8.032114525E+0,0.000000000E+0
7.400000000E+1,2.388460000E+2,6.299380000E+1,0.000000000E+0,8.524663236E-4,1.090320047E-2,2.438625977E-1,9.788653603E-5,1.090320047E-2,1.774305477E+2,2.578044937E-3,1.140528002E-2,6.191897072E-2,3.016992675E-5,1.140528002E-2,7.778679513E+0,0.000000000E+0
