#Tav,S_AC,S_DC,dT_AC,dT_phase,Vs_phase,dT_DC,T0
1.9713332e+00,-2.1514765e-06,-5.8502739e-07,2.5470824e-02,-9.0929673e+01,8.8863501e+01,2.0566142e-01,1.7999400e+00
2.1055776e+00,-1.7110622e-06,-7.7402817e-07,4.1471211e-02,-9.4269035e+01,8.8883115e+01,1.6632875e-01,1.9000800e+00
2.2831881e+00,-1.9284121e-06,-1.0702488e-06,4.5325730e-02,-9.1474245e+01,8.8803752e+01,1.4644695e-01,2.0000100e+00
2.3960069e+00,-1.6862867e-06,-1.8975159e-06,6.2889012e-02,-9.1888286e+01,8.8778180e+01,6.0695876e-02,2.1000200e+00
2.5335039e+00,-2.1034166e-06,-9.5567376e-07,5.9906303e-02,-8.9698515e+01,8.9220741e+01,1.4655959e-01,2.2000300e+00
2.7062787e+00,-2.3952904e-06,-1.2930171e-06,6.0488965e-02,-8.9498842e+01,8.8581727e+01,1.7255466e-01,2.3000300e+00
2.8022596e+00,-2.5711368e-06,-1.0911265e-06,6.5615521e-02,-8.9982588e+01,8.8603886e+01,2.1210763e-01,2.4000100e+00
2.9622479e+00,-2.2648475e-06,-2.1150250e-06,8.4964533e-02,-9.0830228e+01,8.8279832e+01,7.8869077e-02,2.5000000e+00
3.1028741e+00,-2.5053611e-06,-1.8526006e-06,8.6562664e-02,-9.0352373e+01,8.8387337e+01,1.3397202e-01,2.6000600e+00
3.2260184e+00,-2.6847623e-06,-1.8978272e-06,9.0706325e-02,-9.1263604e+01,8.8105538e+01,1.4591300e-01,2.7000000e+00
3.3752484e+00,-2.8483168e-06,-2.1082597e-06,9.5759363e-02,-9.3264850e+01,8.7810556e+01,1.3280608e-01,2.8000000e+00
3.5205663e+00,-2.7528253e-06,-3.1368865e-06,1.0885975e-01,-9.2741911e+01,8.7564568e+01,8.2882862e-02,2.9000000e+00
3.6634473e+00,-2.9210584e-06,-3.3350170e-06,1.1353016e-01,-9.2856405e+01,8.7446221e+01,9.7240072e-02,3.0000100e+00
3.7063784e+00,-3.4609278e-06,-1.7628858e-06,1.0491294e-01,-9.3098315e+01,8.7045201e+01,2.0514354e-01,3.1000000e+00
3.9604639e+00,-2.0350725e-06,-4.2131192e-07,1.9555247e-01,-9.3675336e+01,8.6983234e+01,-4.2157528e-01,3.1999600e+00
4.1005092e+00,-4.2646783e-06,-2.1838070e-06,1.0140848e-01,-9.3887022e+01,8.6771868e+01,3.3093237e-01,3.3000000e+00
4.1933158e+00,-4.4717512e-06,-1.9237943e-06,1.0471498e-01,-9.3293745e+01,8.6444323e+01,3.3612440e-01,3.4000000e+00
4.3511788e+00,-4.0356033e-06,-2.6496883e-06,1.2532320e-01,-9.3273585e+01,8.6220630e+01,2.0724740e-01,3.5000600e+00
4.4799310e+00,-4.1004543e-06,-2.8225558e-06,1.3324484e-01,-9.4259833e+01,8.5999373e+01,2.0441144e-01,3.6000500e+00
4.6187152e+00,-4.2093161e-06,-3.2388742e-06,1.3931156e-01,-9.4311490e+01,8.5608329e+01,1.8749117e-01,3.7000100e+00
4.7495021e+00,-4.4456356e-06,-3.0551153e-06,1.4175362e-01,-9.4417615e+01,8.5364143e+01,2.2336785e-01,3.8000100e+00
4.8904921e+00,-4.3368407e-06,-3.9102309e-06,1.5554347e-01,-9.5390284e+01,8.4856831e+01,1.7429393e-01,3.9000100e+00
5.1617647e+00,-4.9407363e-06,-3.2545675e-06,1.5575118e-01,-9.4989274e+01,8.4253478e+01,2.6064510e-01,4.1000000e+00
5.4442589e+00,-5.2506081e-06,-3.5701699e-06,1.6554007e-01,-9.6392684e+01,8.3617183e+01,2.7135019e-01,4.3000100e+00
5.7189303e+00,-5.6695826e-06,-3.4319082e-06,1.7221371e-01,-9.7434453e+01,8.2841875e+01,3.0906558e-01,4.5000400e+00
5.9904539e+00,-5.9487035e-06,-3.7213592e-06,1.8313162e-01,-9.7927508e+01,8.2184805e+01,3.1268110e-01,4.6999700e+00
6.2767583e+00,-5.9345159e-06,-4.9094521e-06,2.0354587e-01,-9.8716382e+01,8.1351456e+01,2.4222843e-01,4.9000000e+00
6.5547903e+00,-6.5084005e-06,-4.3293292e-06,2.0516723e-01,-9.9581352e+01,8.0567368e+01,3.3502571e-01,5.0999900e+00
6.8226938e+00,-6.8292372e-06,-4.5947282e-06,2.1496165e-01,-1.0027843e+02,7.9747202e+01,3.3815617e-01,5.2999600e+00
7.0990807e+00,-6.9955882e-06,-5.0429605e-06,2.2973417e-01,-1.0146461e+02,7.8895279e+01,3.1432015e-01,5.4999700e+00
7.3815529e+00,-7.3490314e-06,-5.1435144e-06,2.3899699e-01,-1.0194824e+02,7.8080937e+01,3.3951720e-01,5.6999900e+00
7.6528230e+00,-7.6380077e-06,-5.5963772e-06,2.5011490e-01,-1.0295457e+02,7.7274907e+01,3.4314111e-01,5.8999400e+00
7.9369385e+00,-7.9740496e-06,-5.8641827e-06,2.5989375e-01,-1.0389213e+02,7.6414154e+01,3.5735237e-01,6.1000000e+00
8.2153328e+00,-8.3386870e-06,-5.9171862e-06,2.6886478e-01,-1.0454270e+02,7.5564666e+01,3.9158437e-01,6.3000000e+00
8.5015491e+00,-8.7540451e-06,-5.9303570e-06,2.7634673e-01,-1.0567832e+02,7.4681201e+01,4.2403681e-01,6.4999900e+00
8.7767052e+00,-8.9045401e-06,-6.4899517e-06,2.9237608e-01,-1.0630804e+02,7.3861822e+01,4.0622334e-01,6.6999300e+00
9.0563500e+00,-9.3857778e-06,-6.2495128e-06,2.9769133e-01,-1.0721199e+02,7.3037045e+01,4.5912817e-01,6.9000000e+00
9.3419180e+00,-9.5839936e-06,-6.8710829e-06,3.1200407e-01,-1.0818421e+02,7.2194114e+01,4.5024864e-01,7.1000700e+00
9.6248055e+00,-9.9613577e-06,-6.7004967e-06,3.2038339e-01,-1.0900000e+02,7.1357740e+01,4.8856821e-01,7.3000200e+00
9.9023050e+00,-1.0161092e-05,-7.1957769e-06,3.3422093e-01,-1.0971737e+02,7.0684621e+01,4.9025589e-01,7.4998500e+00
1.0188299e+01,-1.0552232e-05,-7.0878610e-06,3.4187542e-01,-1.1049830e+02,6.9918468e+01,5.3287479e-01,7.7001600e+00
