#T0(K),B(T),f(Hz),I_R(A),I_offset(A),R_heater(Ohm),S/T0(uV/K2),T+_X(V),T+_Y(V),T+_R(V),T+_phase(V),T-_X(V),T-_Y(V),T-_R(V),T-_phase(V),VS_X(V),VS_Y(V),VS_R(V),VS_phase(V),T+_DC_Q(V),T-_DC_Q(V),VS_DC_Q(V),T+_DC_0(V),T-_DC_0(V),VS_DC_0(V),Time_0(s),Time_Q(s)
1.799940000E+0,0.000000000E+0,5.000000000E-1,5.395409794E-5,0.000000000E+0,5.100000000E+3,7.967015157E-2,5.377538900E-9,1.320994585E-7,1.324833688E-7,8.771064653E+1,-4.484698643E-9,-1.005646283E-7,1.010253185E-7,-9.251697789E+1,7.966135540E-10,3.843199928E-8,3.874961926E-8,8.886350145E+1,3.753293313E-6,1.455812498E-5,1.090146787E-5,4.009710418E-6,1.449777885E-5,1.102178543E-5,2.140000000E+2,4.280000000E+2
1.900080000E+0,0.000000000E+0,5.000000000E-1,6.167788811E-5,0.000000000E+0,5.100000000E+3,7.968099750E-2,8.968063066E-9,1.744964321E-7,1.749607461E-7,8.704497742E+1,-5.943351761E-9,-1.289863473E-7,1.295218479E-7,-9.264927777E+1,9.657655270E-10,5.004894005E-8,5.025220159E-8,8.888311512E+1,3.576254354E-6,1.445755029E-5,1.073765744E-5,3.862658459E-6,1.434157564E-5,1.086640058E-5,6.420000000E+2,8.560000000E+2
2.000010000E+0,0.000000000E+0,5.000000000E-1,6.936563342E-5,0.000000000E+0,5.100000000E+3,7.889007936E-2,9.139100919E-9,2.155176023E-7,2.159415116E-7,8.755722252E+1,-7.505706965E-9,-1.635512724E-7,1.640056792E-7,-9.265731475E+1,1.282130952E-9,6.164386171E-8,6.180658919E-8,8.880375219E+1,3.478517500E-6,1.452663683E-5,1.069931098E-5,3.857350663E-6,1.431157494E-5,1.085604565E-5,1.070000000E+3,1.284000000E+3
2.100020000E+0,0.000000000E+0,5.000000000E-1,7.701745716E-5,0.000000000E+0,5.100000000E+3,7.846934930E-2,1.242525001E-8,2.644294472E-7,2.649239847E-7,8.731194221E+1,-1.012442799E-8,-2.000621693E-7,2.006066940E-7,-9.290471065E+1,1.525943674E-9,7.482347005E-8,7.499297349E-8,8.877818003E+1,3.469122131E-6,1.454478806E-5,1.069352553E-5,3.830605714E-6,1.425476847E-5,1.080869692E-5,1.498000000E+3,1.712000000E+3
2.200030000E+0,0.000000000E+0,5.000000000E-1,8.463348244E-5,0.000000000E+0,5.100000000E+3,7.855175220E-2,1.408123831E-8,3.142848523E-7,3.147356338E-7,8.743576464E+1,-1.346994056E-8,-2.391530164E-7,2.397068156E-7,-9.321203083E+1,1.203127410E-9,8.900651339E-8,8.911690042E-8,8.922074138E+1,3.313709902E-6,1.455469155E-5,1.062885849E-5,3.794135838E-6,1.425732187E-5,1.076892164E-5,1.926000000E+3,2.140000000E+3
2.300030000E+0,0.000000000E+0,5.000000000E-1,9.221383218E-5,0.000000000E+0,5.100000000E+3,7.702865206E-2,1.628810354E-8,3.679538585E-7,3.683999810E-7,8.746718095E+1,-1.566353397E-8,-2.834207391E-7,2.839745026E-7,-9.315834148E+1,2.553097532E-9,1.023734897E-7,1.025092562E-7,8.858172730E+1,3.234369905E-6,1.464009362E-5,1.059347710E-5,3.852714608E-6,1.425269923E-5,1.081659323E-5,2.354000000E+3,2.568000000E+3
2.400010000E+0,0.000000000E+0,5.000000000E-1,9.975862908E-5,0.000000000E+0,5.100000000E+3,7.758513021E-2,2.024599023E-8,4.276708390E-7,4.282431499E-7,8.729069864E+1,-1.862374881E-8,-3.272332271E-7,3.279340487E-7,-9.325585500E+1,2.942220188E-9,1.192320267E-7,1.193298069E-7,8.860388567E+1,3.049620977E-6,1.452285276E-5,1.045873848E-5,3.716163606E-6,1.415066989E-5,1.069017475E-5,2.782000000E+3,2.996000000E+3
2.500000000E+0,0.000000000E+0,5.000000000E-1,1.072679956E-4,0.000000000E+0,5.100000000E+3,7.757766505E-2,2.375993543E-8,4.870579178E-7,4.877279514E-7,8.720675740E+1,-2.150212282E-8,-3.759689692E-7,3.767123682E-7,-9.327453495E+1,4.103611598E-9,1.359387118E-7,1.360861848E-7,8.827983237E+1,3.018226196E-6,1.466122112E-5,1.050404773E-5,3.701099860E-6,1.409426019E-5,1.067085780E-5,3.210000000E+3,3.424000000E+3
2.600060000E+0,0.000000000E+0,5.000000000E-1,1.147420541E-4,0.000000000E+0,5.100000000E+3,7.731553131E-2,2.687026838E-8,5.525952632E-7,5.533272987E-7,8.721570165E+1,-2.487142625E-8,-4.254137099E-7,4.262373650E-7,-9.334372313E+1,4.290525325E-9,1.532597153E-7,1.533878717E-7,8.838733735E+1,2.852198374E-6,1.463173434E-5,1.038463881E-5,3.666967156E-6,1.402344072E-5,1.063283546E-5,3.638000000E+3,3.852000000E+3
2.700000000E+0,0.000000000E+0,5.000000000E-1,1.221809267E-4,0.000000000E+0,5.100000000E+3,7.746542218E-2,3.352587660E-8,6.190623917E-7,6.200427189E-7,8.689875299E+1,-2.935362918E-8,-4.784801280E-7,4.795024682E-7,-9.351139225E+1,5.669743214E-9,1.720635371E-7,1.722085617E-7,8.810553845E+1,2.837817947E-6,1.472950061E-5,1.041737750E-5,3.729302022E-6,1.407198136E-5,1.069429517E-5,4.066000000E+3,4.280000000E+3
