#Time(s),T0(K),B(T),S/T(microV/K^2),T+_X(V),T+_Y(V),T+_R(V),T+_phase(V),T-_X(V),T-_Y(V),T-_R(V),T-_phase(V),VS_X(V),VS_Y(V),VS_R(V),VS_phase(V),T+_DC(V),T-_DC(V),VS_DC(V),f(Hz),I_R(A),I_offset(A),R_heater(Ohm),Stable?
6.9466000E+4,5.2109300E+1,1.0000000E-4,6.0963342E-2,5.0036924E-6,1.3644835E-6,5.1864007E-6,1.5253414E+1,-3.7086515E-6,-2.3929583E-7,3.7163636E-6,-1.7630818E+2,9.7243274E-7,1.0826453E-6,1.4552478E-6,4.8069796E+1,-9.7796880E-6,2.5413579E-5,8.9765154E-6,5.0000000E-1,3.9225115E-4,1.5181757E-7,5.1000000E+3,1.0000000E+0
6.9467000E+4,5.2105700E+1,1.0000000E-4,6.0884779E-2,5.0259017E-6,1.3484280E-6,5.2036473E-6,1.5018524E+1,-3.6873444E-6,-2.5320448E-7,3.6960277E-6,-1.7607175E+2,9.8082909E-7,1.0725892E-6,1.4534350E-6,4.7558647E+1,-9.7363256E-6,2.5451400E-5,9.0326113E-6,5.0000000E-1,3.9225074E-4,1.5143955E-7,5.1000000E+3,1.0000000E+0
6.9468000E+4,5.2103900E+1,1.0000000E-4,6.0885182E-2,5.0259017E-6,1.3484280E-6,5.2036473E-6,1.5018524E+1,-3.6873444E-6,-2.5320448E-7,3.6960277E-6,-1.7607175E+2,9.8082909E-7,1.0725892E-6,1.4534350E-6,4.7558647E+1,-9.7363256E-6,2.5451400E-5,9.0326113E-6,5.0000000E-1,3.9225074E-4,1.5143955E-7,5.1000000E+3,1.0000000E+0
6.9469000E+4,5.2100200E+1,1.0000000E-4,6.0782240E-2,4.9978807E-6,1.3628931E-6,5.1803754E-6,1.5253356E+1,-3.7206040E-6,-2.3429408E-7,3.7279737E-6,-1.7639672E+2,9.8148761E-7,1.0695928E-6,1.4516703E-6,4.7459658E+1,-9.7321579E-6,2.5459640E-5,9.0727815E-6,5.0000000E-1,3.9225157E-4,1.5094636E-7,5.1000000E+3,1.0000000E+0
6.9470000E+4,5.2096400E+1,1.0000000E-4,6.0783091E-2,4.9978807E-6,1.3628931E-6,5.1803754E-6,1.5253356E+1,-3.7206040E-6,-2.3429408E-7,3.7279737E-6,-1.7639672E+2,9.8148761E-7,1.0695928E-6,1.4516703E-6,4.7459658E+1,-9.7321579E-6,2.5459640E-5,9.0727815E-6,5.0000000E-1,3.9225157E-4,1.5094636E-7,5.1000000E+3,1.0000000E+0
6.9471000E+4,5.2090700E+1,1.0000000E-4,6.0924944E-2,5.0073012E-6,1.3583952E-6,5.1882851E-6,1.5178064E+1,-3.7022933E-6,-2.4420863E-7,3.7103387E-6,-1.7622615E+2,9.7490224E-7,1.0784075E-6,1.4537528E-6,4.7885780E+1,-9.7263604E-6,2.5479351E-5,9.0880692E-6,5.0000000E-1,3.9225159E-4,1.5058243E-7,5.1000000E+3,1.0000000E+0
6.9472000E+4,5.2087100E+1,1.0000000E-4,6.0925751E-2,5.0073012E-6,1.3583952E-6,5.1882851E-6,1.5178064E+1,-3.7022933E-6,-2.4420863E-7,3.7103387E-6,-1.7622615E+2,9.7490224E-7,1.0784075E-6,1.4537528E-6,4.7885780E+1,-9.7263604E-6,2.5479351E-5,9.0880692E-6,5.0000000E-1,3.9225159E-4,1.5058243E-7,5.1000000E+3,1.0000000E+0
6.9473000E+4,5.2083500E+1,1.0000000E-4,6.1080219E-2,4.9931887E-6,1.3766831E-6,5.1794971E-6,1.5414182E+1,-3.7153818E-6,-2.4056347E-7,3.7231617E-6,-1.7629539E+2,9.7944292E-7,1.0796093E-6,1.4576916E-6,4.7785063E+1,-9.7478530E-6,2.5507275E-5,9.0780668E-6,5.0000000E-1,3.9225000E-4,1.5083597E-7,5.1000000E+3,1.0000000E+0
6.9474000E+4,5.2079800E+1,1.0000000E-4,6.1081052E-2,4.9931887E-6,1.3766831E-6,5.1794971E-6,1.5414182E+1,-3.7153818E-6,-2.4056347E-7,3.7231617E-6,-1.7629539E+2,9.7944292E-7,1.0796093E-6,1.4576916E-6,4.7785063E+1,-9.7478530E-6,2.5507275E-5,9.0780668E-6,5.0000000E-1,3.9225000E-4,1.5083597E-7,5.1000000E+3,1.0000000E+0
6.9475000E+4,5.2076100E+1,1.0000000E-4,6.0986286E-2,5.0347624E-6,1.3532386E-6,5.2134525E-6,1.5044352E+1,-3.6856322E-6,-2.5916432E-7,3.6947329E-6,-1.7597773E+2,9.8413171E-7,1.0746373E-6,1.4571755E-6,4.7517159E+1,-9.7351288E-6,2.5509184E-5,9.0711308E-6,5.0000000E-1,3.9225007E-4,1.5136945E-7,5.1000000E+3,1.0000000E+0
6.9476000E+4,5.2074200E+1,1.0000000E-4,6.0986713E-2,5.0347624E-6,1.3532386E-6,5.2134525E-6,1.5044352E+1,-3.6856322E-6,-2.5916432E-7,3.6947329E-6,-1.7597773E+2,9.8413171E-7,1.0746373E-6,1.4571755E-6,4.7517159E+1,-9.7351288E-6,2.5509184E-5,9.0711308E-6,5.0000000E-1,3.9225007E-4,1.5136945E-7,5.1000000E+3,1.0000000E+0
6.9477000E+4,5.2068600E+1,1.0000000E-4,6.0706240E-2,4.9880915E-6,1.3679179E-6,5.1722583E-6,1.5335586E+1,-3.7245290E-6,-2.4010241E-7,3.7322601E-6,-1.7631152E+2,9.7605134E-7,1.0710318E-6,1.4490636E-6,4.7656502E+1,-9.7261579E-6,2.5529764E-5,9.0707629E-6,5.0000000E-1,3.9225026E-4,1.5127122E-7,5.1000000E+3,1.0000000E+0
6.9478000E+4,5.2066700E+1,1.0000000E-4,6.0706665E-2,4.9880915E-6,1.3679179E-6,5.1722583E-6,1.5335586E+1,-3.7245290E-6,-2.4010241E-7,3.7322601E-6,-1.7631152E+2,9.7605134E-7,1.0710318E-6,1.4490636E-6,4.7656502E+1,-9.7261579E-6,2.5529764E-5,9.0707629E-6,5.0000000E-1,3.9225026E-4,1.5127122E-7,5.1000000E+3,1.0000000E+0
6.9479000E+4,5.2063000E+1,1.0000000E-4,6.0828472E-2,5.0054176E-6,1.3464821E-6,5.1833599E-6,1.5056424E+1,-3.7046115E-6,-2.6131430E-7,3.7138163E-6,-1.7596518E+2,9.7333160E-7,1.0768270E-6,1.4515271E-6,4.7889933E+1,-9.7820815E-6,2.5486774E-5,9.0062968E-6,5.0000000E-1,3.9225060E-4,1.5186324E-7,5.1000000E+3,1.0000000E+0
6.9480000E+4,5.2059300E+1,1.0000000E-4,6.0829301E-2,5.0054176E-6,1.3464821E-6,5.1833599E-6,1.5056424E+1,-3.7046115E-6,-2.6131430E-7,3.7138163E-6,-1.7596518E+2,9.7333160E-7,1.0768270E-6,1.4515271E-6,4.7889933E+1,-9.7820815E-6,2.5486774E-5,9.0062968E-6,5.0000000E-1,3.9225060E-4,1.5186324E-7,5.1000000E+3,1.0000000E+0
6.9481000E+4,5.2055600E+1,1.0000000E-4,6.0585439E-2,4.9924609E-6,1.3666996E-6,5.1761505E-6,1.5309789E+1,-3.7345192E-6,-2.4827486E-7,3.7427629E-6,-1.7619651E+2,9.7401974E-7,1.0722831E-6,1.4486219E-6,4.7749227E+1,-9.7578252E-6,2.5494036E-5,8.9993537E-6,5.0000000E-1,3.9225059E-4,1.5082747E-7,5.1000000E+3,1.0000000E+0
6.9482000E+4,5.2050000E+1,1.0000000E-4,6.0586688E-2,4.9924609E-6,1.3666996E-6,5.1761505E-6,1.5309789E+1,-3.7345192E-6,-2.4827486E-7,3.7427629E-6,-1.7619651E+2,9.7401974E-7,1.0722831E-6,1.4486219E-6,4.7749227E+1,-9.7578252E-6,2.5494036E-5,8.9993537E-6,5.0000000E-1,3.9225059E-4,1.5082747E-7,5.1000000E+3,1.0000000E+0
6.9483000E+4,5.2048200E+1,1.0000000E-4,6.1113364E-2,5.0318054E-6,1.3369528E-6,5.2063911E-6,1.4879718E+1,-3.6819609E-6,-2.7080413E-7,3.6919062E-6,-1.7579353E+2,9.9132957E-7,1.0702842E-6,1.4588498E-6,4.7193213E+1,-9.7306538E-6,2.5529179E-5,9.0146693E-6,5.0000000E-1,3.9225112E-4,1.5359321E-7,5.1000000E+3,1.0000000E+0
6.9484000E+4,5.2042600E+1,1.0000000E-4,6.1114624E-2,5.0318054E-6,1.3369528E-6,5.2063911E-6,1.4879718E+1,-3.6819609E-6,-2.7080413E-7,3.6919062E-6,-1.7579353E+2,9.9132957E-7,1.0702842E-6,1.4588498E-6,4.7193213E+1,-9.7306538E-6,2.5529179E-5,9.0146693E-6,5.0000000E-1,3.9225112E-4,1.5359321E-7,5.1000000E+3,1.0000000E+0
6.9485000E+4,5.2040700E+1,1.0000000E-4,6.0774869E-2,4.9995140E-6,1.3738283E-6,5.1848379E-6,1.5365190E+1,-3.7160304E-6,-2.3068200E-7,3.7231836E-6,-1.7644778E+2,9.6704913E-7,1.0816575E-6,1.4509193E-6,4.8201893E+1,-9.6964370E-6,2.5573394E-5,9.0244249E-6,5.0000000E-1,3.9225222E-4,1.5327471E-7,5.1000000E+3,1.0000000E+0
6.9486000E+4,5.2037000E+1,1.0000000E-4,6.0775697E-2,4.9995140E-6,1.3738283E-6,5.1848379E-6,1.5365190E+1,-3.7160304E-6,-2.3068200E-7,3.7231836E-6,-1.7644778E+2,9.6704913E-7,1.0816575E-6,1.4509193E-6,4.8201893E+1,-9.6964370E-6,2.5573394E-5,9.0244249E-6,5.0000000E-1,3.9225222E-4,1.5327471E-7,5.1000000E+3,1.0000000E+0
6.9487000E+4,5.2031500E+1,1.0000000E-4,6.0368644E-2,4.9867578E-6,1.3509900E-6,5.1665199E-6,1.5158455E+1,-3.7389052E-6,-2.5956227E-7,3.7479040E-6,-1.7602878E+2,9.6207377E-7,1.0754409E-6,1.4429688E-6,4.8184648E+1,-9.6676964E-6,2.5592875E-5,9.0399757E-6,5.0000000E-1,3.9225271E-4,1.5385482E-7,5.1000000E+3,1.0000000E+0
6.9488000E+4,5.2027700E+1,1.0000000E-4,6.0369488E-2,4.9867578E-6,1.3509900E-6,5.1665199E-6,1.5158455E+1,-3.7389052E-6,-2.5956227E-7,3.7479040E-6,-1.7602878E+2,9.6207377E-7,1.0754409E-6,1.4429688E-6,4.8184648E+1,-9.6676964E-6,2.5592875E-5,9.0399757E-6,5.0000000E-1,3.9225271E-4,1.5385482E-7,5.1000000E+3,1.0000000E+0
6.9489000E+4,5.2025800E+1,1.0000000E-4,6.0752574E-2,5.0027340E-6,1.3407858E-6,5.1792909E-6,1.5003283E+1,-3.7049012E-6,-2.5705681E-7,3.7138082E-6,-1.7603101E+2,9.7872830E-7,1.0682791E-6,1.4488372E-6,4.7504931E+1,-9.6820504E-6,2.5582167E-5,9.0277148E-6,5.0000000E-1,3.9225285E-4,1.5239762E-7,5.1000000E+3,1.0000000E+0
6.9490000E+4,5.2022100E+1,1.0000000E-4,6.0753401E-2,5.0027340E-6,1.3407858E-6,5.1792909E-6,1.5003283E+1,-3.7049012E-6,-2.5705681E-7,3.7138082E-6,-1.7603101E+2,9.7872830E-7,1.0682791E-6,1.4488372E-6,4.7504931E+1,-9.6820504E-6,2.5582167E-5,9.0277148E-6,5.0000000E-1,3.9225285E-4,1.5239762E-7,5.1000000E+3,1.0000000E+0
6.9491000E+4,5.2016600E+1,1.0000000E-4,6.0575610E-2,4.9954110E-6,1.3440226E-6,5.1730579E-6,1.5058908E+1,-3.7156059E-6,-2.6695135E-7,3.7251833E-6,-1.7589059E+2,9.7788533E-7,1.0645221E-6,1.4454989E-6,4.7428970E+1,-9.6484064E-6,2.5560528E-5,9.0717035E-6,5.0000000E-1,3.9225379E-4,1.5171145E-7,5.1000000E+3,1.0000000E+0
6.9492000E+4,5.2012800E+1,1.0000000E-4,6.0576457E-2,4.9954110E-6,1.3440226E-6,5.1730579E-6,1.5058908E+1,-3.7156059E-6,-2.6695135E-7,3.7251833E-6,-1.7589059E+2,9.7788533E-7,1.0645221E-6,1.4454989E-6,4.7428970E+1,-9.6484064E-6,2.5560528E-5,9.0717035E-6,5.0000000E-1,3.9225379E-4,1.5171145E-7,5.1000000E+3,1.0000000E+0
6.9493000E+4,5.2010900E+1,1.0000000E-4,6.1149931E-2,5.0209167E-6,1.3749608E-6,5.2057777E-6,1.5314792E+1,-3.6955398E-6,-2.3548956E-7,3.7030352E-6,-1.7635389E+2,9.7357865E-7,1.0880519E-6,1.4600385E-6,4.8178119E+1,-9.7164488E-6,2.5483058E-5,9.0271072E-6,5.0000000E-1,3.9225319E-4,1.5062399E-7,5.1000000E+3,1.0000000E+0
6.9494000E+4,5.2007200E+1,1.0000000E-4,6.1150764E-2,5.0209167E-6,1.3749608E-6,5.2057777E-6,1.5314792E+1,-3.6955398E-6,-2.3548956E-7,3.7030352E-6,-1.7635389E+2,9.7357865E-7,1.0880519E-6,1.4600385E-6,4.8178119E+1,-9.7164488E-6,2.5483058E-5,9.0271072E-6,5.0000000E-1,3.9225319E-4,1.5062399E-7,5.1000000E+3,1.0000000E+0
6.9495000E+4,5.2003500E+1,1.0000000E-4,6.0502685E-2,5.0096058E-6,1.3273053E-6,5.1824598E-6,1.4839660E+1,-3.6930642E-6,-2.8835095E-7,3.7043041E-6,-1.7553546E+2,9.7556394E-7,1.0625695E-6,1.4424905E-6,4.7444407E+1,-9.6128904E-6,2.5565361E-5,9.0643764E-6,5.0000000E-1,3.9225323E-4,1.5025265E-7,5.1000000E+3,1.0000000E+0
6.9496000E+4,5.1999900E+1,1.0000000E-4,6.0503487E-2,5.0096058E-6,1.3273053E-6,5.1824598E-6,1.4839660E+1,-3.6930642E-6,-2.8835095E-7,3.7043041E-6,-1.7553546E+2,9.7556394E-7,1.0625695E-6,1.4424905E-6,4.7444407E+1,-9.6128904E-6,2.5565361E-5,9.0643764E-6,5.0000000E-1,3.9225323E-4,1.5025265E-7,5.1000000E+3,1.0000000E+0
6.9497000E+4,5.1994300E+1,1.0000000E-4,6.1038029E-2,5.0095372E-6,1.3878782E-6,5.1982371E-6,1.5485243E+1,-3.7032678E-6,-2.2766598E-7,3.7102593E-6,-1.7648205E+2,9.7956474E-7,1.0783482E-6,1.4568397E-6,4.7748189E+1,-9.6149696E-6,2.5579822E-5,9.1024931E-6,5.0000000E-1,3.9225385E-4,1.5010489E-7,5.1000000E+3,1.0000000E+0
6.9498000E+4,5.1992500E+1,1.0000000E-4,6.1038434E-2,5.0095372E-6,1.3878782E-6,5.1982371E-6,1.5485243E+1,-3.7032678E-6,-2.2766598E-7,3.7102593E-6,-1.7648205E+2,9.7956474E-7,1.0783482E-6,1.4568397E-6,4.7748189E+1,-9.6149696E-6,2.5579822E-5,9.1024931E-6,5.0000000E-1,3.9225385E-4,1.5010489E-7,5.1000000E+3,1.0000000E+0
6.9499000E+4,5.1988800E+1,1.0000000E-4,6.0814316E-2,5.0048117E-6,1.3432322E-6,5.1819314E-6,1.5023464E+1,-3.7079997E-6,-2.6264124E-7,3.7172896E-6,-1.7594845E+2,9.7892260E-7,1.0712820E-6,1.4511839E-6,4.7579367E+1,-9.6592586E-6,2.5508674E-5,9.0462388E-6,5.0000000E-1,3.9225476E-4,1.5189716E-7,5.1000000E+3,1.0000000E+0
6.9500000E+4,5.1985100E+1,1.0000000E-4,6.0815145E-2,5.0048117E-6,1.3432322E-6,5.1819314E-6,1.5023464E+1,-3.7079997E-6,-2.6264124E-7,3.7172896E-6,-1.7594845E+2,9.7892260E-7,1.0712820E-6,1.4511839E-6,4.7579367E+1,-9.6592586E-6,2.5508674E-5,9.0462388E-6,5.0000000E-1,3.9225476E-4,1.5189716E-7,5.1000000E+3,1.0000000E+0
